Line Number,Label Text,Link,Rising Value
1,Oprah winfrey and kamala harris,https://trends.google.ca/trends/explore?q=oprah+winfrey+and+kamala+harris&date=now+7-d&geo=CA,Breakout
2,Unite for america oprah winfrey,https://trends.google.ca/trends/explore?q=unite+for+america+oprah+winfrey&date=now+7-d&geo=CA,Breakout
3,Unite for america,https://trends.google.ca/trends/explore?q=unite+for+america&date=now+7-d&geo=CA,Breakout
4,George clooney,https://trends.google.ca/trends/explore?q=george+clooney&date=now+7-d&geo=CA,Breakout
5,Ai and the future of us,https://trends.google.ca/trends/explore?q=ai+and+the+future+of+us&date=now+7-d&geo=CA,Breakout
6,Oprah winfrey streaming,https://trends.google.ca/trends/explore?q=oprah+winfrey+streaming&date=now+7-d&geo=CA,Breakout
7,Mark robinson,https://trends.google.ca/trends/explore?q=mark+robinson&date=now+7-d&geo=CA,Breakout
8,Oprah winfrey age 2024,https://trends.google.ca/trends/explore?q=oprah+winfrey+age+2024&date=now+7-d&geo=CA,Breakout
9,Is oprah winfrey married,https://trends.google.ca/trends/explore?q=is+oprah+winfrey+married&date=now+7-d&geo=CA,Breakout
10,Diddy news,https://trends.google.ca/trends/explore?q=diddy+news&date=now+7-d&geo=CA,Breakout
11,How old is oprah winfrey now,https://trends.google.ca/trends/explore?q=how+old+is+oprah+winfrey+now&date=now+7-d&geo=CA,Breakout
12,Julia roberts,https://trends.google.ca/trends/explore?q=julia+roberts&date=now+7-d&geo=CA,Breakout
13,Meryl streep,https://trends.google.ca/trends/explore?q=meryl+streep&date=now+7-d&geo=CA,Breakout
14,Aaron rodgers,https://trends.google.ca/trends/explore?q=aaron+rodgers&date=now+7-d&geo=CA,Breakout
15,Stedman graham,https://trends.google.ca/trends/explore?q=stedman+graham&date=now+7-d&geo=CA,Breakout
16,Oprah and kamala,https://trends.google.ca/trends/explore?q=oprah+and+kamala&date=now+7-d&geo=CA,"+1,750%"
17,Harris,https://trends.google.ca/trends/explore?q=harris&date=now+7-d&geo=CA,+550%
18,Oprah winfrey kamala,https://trends.google.ca/trends/explore?q=oprah+winfrey+kamala&date=now+7-d&geo=CA,+550%
19,Kamala harris,https://trends.google.ca/trends/explore?q=kamala+harris&date=now+7-d&geo=CA,+500%
20,Youtube oprah winfrey,https://trends.google.ca/trends/explore?q=youtube+oprah+winfrey&date=now+7-d&geo=CA,+110%
21,Oprah winfrey weight loss,https://trends.google.ca/trends/explore?q=oprah+winfrey+weight+loss&date=now+7-d&geo=CA,+70%
