Query,Line Number,Seed,Link,Rising Value,Date
 Office,1,Sucha soorma,https://trends.google.ca/trends/explore?q=sucha+soorma&date=now+7-d&geo=CA,Breakout,2024-09-26
 Office,2,Sucha soorma box office collection,https://trends.google.ca/trends/explore?q=sucha+soorma+box+office+collection&date=now+7-d&geo=CA,"+4,100%",2024-09-26
 Office,3,Sucha soorma box office collection worldwide,https://trends.google.ca/trends/explore?q=sucha+soorma+box+office+collection+worldwide&date=now+7-d&geo=CA,"+2,700%",2024-09-26
 Office,4,Transformers one budget,https://trends.google.ca/trends/explore?q=transformers+one+budget&date=now+7-d&geo=CA,+950%,2024-09-26
 Office,5,Transformers one box office,https://trends.google.ca/trends/explore?q=transformers+one+box+office&date=now+7-d&geo=CA,+800%,2024-09-26
 Office,6,The substance box office,https://trends.google.ca/trends/explore?q=the+substance+box+office&date=now+7-d&geo=CA,+500%,2024-09-26
 Office,7,The office australia,https://trends.google.ca/trends/explore?q=the+office+australia&date=now+7-d&geo=CA,+110%,2024-09-26
 Office,8,The office reboot,https://trends.google.ca/trends/explore?q=the+office+reboot&date=now+7-d&geo=CA,+60%,2024-09-26
