Line Number,Label Text,Link,Rising Value
1,Rodtang,https://trends.google.ca/trends/explore?q=rodtang&date=now+7-d&geo=CA,+600%
2,Merab dvalishvili,https://trends.google.ca/trends/explore?q=merab+dvalishvili&date=now+7-d&geo=CA,+500%
3,Demetrious johnson height,https://trends.google.ca/trends/explore?q=demetrious+johnson+height&date=now+7-d&geo=CA,+400%
4,Jon jones,https://trends.google.ca/trends/explore?q=jon+jones&date=now+7-d&geo=CA,+300%
5,Henry cejudo,https://trends.google.ca/trends/explore?q=henry+cejudo&date=now+7-d&geo=CA,+250%
6,Demetrious johnson wife,https://trends.google.ca/trends/explore?q=demetrious+johnson+wife&date=now+7-d&geo=CA,+160%
7,Ufc,https://trends.google.ca/trends/explore?q=ufc&date=now+7-d&geo=CA,+80%
8,Mighty mouse,https://trends.google.ca/trends/explore?q=mighty+mouse&date=now+7-d&geo=CA,+80%
9,Demetrious johnson ufc record,https://trends.google.ca/trends/explore?q=demetrious+johnson+ufc+record&date=now+7-d&geo=CA,+80%
10,Demetrious johnson record,https://trends.google.ca/trends/explore?q=demetrious+johnson+record&date=now+7-d&geo=CA,+60%
