Line Number,Label Text,Link,Rising Value
1,How to connect macbook air to tv,https://trends.google.ca/trends/explore?q=how+to+connect+macbook+air+to+tv&date=now+1-d&geo=CA,Breakout
2,Apple education pricing,https://trends.google.ca/trends/explore?q=apple+education+pricing&date=now+1-d&geo=CA,+250%
3,Difference between macbook air and pro,https://trends.google.ca/trends/explore?q=difference+between+macbook+air+and+pro&date=now+1-d&geo=CA,+200%
4,Macbook air m3 release date,https://trends.google.ca/trends/explore?q=macbook+air+m3+release+date&date=now+1-d&geo=CA,+200%
5,Macbook air won't turn on,https://trends.google.ca/trends/explore?q=macbook+air+won't+turn+on&date=now+1-d&geo=CA,+130%
6,Macbook air repair,https://trends.google.ca/trends/explore?q=macbook+air+repair&date=now+1-d&geo=CA,+100%
7,Lenovo thinkpad,https://trends.google.ca/trends/explore?q=lenovo+thinkpad&date=now+1-d&geo=CA,+100%
8,Macbook air colours,https://trends.google.ca/trends/explore?q=macbook+air+colours&date=now+1-d&geo=CA,+80%
9,Mouse for macbook air,https://trends.google.ca/trends/explore?q=mouse+for+macbook+air&date=now+1-d&geo=CA,+70%
10,A1466 macbook air,https://trends.google.ca/trends/explore?q=a1466+macbook+air&date=now+1-d&geo=CA,+50%
11,How to screenshot on mac,https://trends.google.ca/trends/explore?q=how+to+screenshot+on+mac&date=now+1-d&geo=CA,+50%
12,2020 macbook air,https://trends.google.ca/trends/explore?q=2020+macbook+air&date=now+1-d&geo=CA,+50%
13,Macbook air price,https://trends.google.ca/trends/explore?q=macbook+air+price&date=now+1-d&geo=CA,+50%
14,Ipad air,https://trends.google.ca/trends/explore?q=ipad+air&date=now+1-d&geo=CA,+50%
15,Mac book air,https://trends.google.ca/trends/explore?q=mac+book+air&date=now+1-d&geo=CA,+40%
16,Macbook air refurbished,https://trends.google.ca/trends/explore?q=macbook+air+refurbished&date=now+1-d&geo=CA,+40%
17,Ipad,https://trends.google.ca/trends/explore?q=ipad&date=now+1-d&geo=CA,+40%
