Line Number,Label Text,Link,Rising Value
1,Hadley duvall,https://trends.google.ca/trends/explore?q=hadley+duvall&date=now+7-d&geo=CA,Breakout
2,Darnell mooney,https://trends.google.ca/trends/explore?q=darnell+mooney&date=now+7-d&geo=CA,Breakout
3,Amber thurman georgia,https://trends.google.ca/trends/explore?q=amber+thurman+georgia&date=now+7-d&geo=CA,Breakout
4,North carolina mark robinson,https://trends.google.ca/trends/explore?q=north+carolina+mark+robinson&date=now+7-d&geo=CA,Breakout
5,Saquon barkley stats,https://trends.google.ca/trends/explore?q=saquon+barkley+stats&date=now+7-d&geo=CA,Breakout
6,Iranian,https://trends.google.ca/trends/explore?q=iranian&date=now+7-d&geo=CA,Breakout
7,Kyle pitts stats,https://trends.google.ca/trends/explore?q=kyle+pitts+stats&date=now+7-d&geo=CA,Breakout
8,Choreographer jani master,https://trends.google.ca/trends/explore?q=choreographer+jani+master&date=now+7-d&geo=CA,Breakout
9,Devonta smith stats,https://trends.google.ca/trends/explore?q=devonta+smith+stats&date=now+7-d&geo=CA,Breakout
10,Miya cech,https://trends.google.ca/trends/explore?q=miya+cech&date=now+7-d&geo=CA,Breakout
11,Drake london celebration,https://trends.google.ca/trends/explore?q=drake+london+celebration&date=now+7-d&geo=CA,Breakout
12,New england patriots vs new york jets match player stats,https://trends.google.ca/trends/explore?q=new+england+patriots+vs+new+york+jets+match+player+stats&date=now+7-d&geo=CA,Breakout
13,Ray-ray mccloud iii,https://trends.google.ca/trends/explore?q=ray-ray+mccloud+iii&date=now+7-d&geo=CA,"+4,350%"
14,Highland drake pirates' day armor,https://trends.google.ca/trends/explore?q=highland+drake+pirates'+day+armor&date=now+7-d&geo=CA,"+2,750%"
15,Drake maye brother,https://trends.google.ca/trends/explore?q=drake+maye+brother&date=now+7-d&geo=CA,"+2,400%"
16,Devonta smith,https://trends.google.ca/trends/explore?q=devonta+smith&date=now+7-d&geo=CA,"+2,250%"
17,Tyler conklin,https://trends.google.ca/trends/explore?q=tyler+conklin&date=now+7-d&geo=CA,"+2,250%"
18,Saquon barkley,https://trends.google.ca/trends/explore?q=saquon+barkley&date=now+7-d&geo=CA,"+1,400%"
19,Braelon allen,https://trends.google.ca/trends/explore?q=braelon+allen&date=now+7-d&geo=CA,"+1,200%"
20,Kyle pitts,https://trends.google.ca/trends/explore?q=kyle+pitts&date=now+7-d&geo=CA,"+1,200%"
21,Dallas goedert,https://trends.google.ca/trends/explore?q=dallas+goedert&date=now+7-d&geo=CA,"+1,150%"
22,Bijan robinson,https://trends.google.ca/trends/explore?q=bijan+robinson&date=now+7-d&geo=CA,"+1,050%"
23,Jalen hurts,https://trends.google.ca/trends/explore?q=jalen+hurts&date=now+7-d&geo=CA,+750%
24,Bijan robinson stats,https://trends.google.ca/trends/explore?q=bijan+robinson+stats&date=now+7-d&geo=CA,+700%
25,Aaron rodgers,https://trends.google.ca/trends/explore?q=aaron+rodgers&date=now+7-d&geo=CA,+600%
