Line Number,Label Text,Link,Rising Value
1,Sean combs,https://trends.google.ca/trends/explore?q=sean+combs&date=now+7-d&geo=CA,Breakout
2,Sean diddy combs,https://trends.google.ca/trends/explore?q=sean+diddy+combs&date=now+7-d&geo=CA,Breakout
3,Jennifer lopez first husband,https://trends.google.ca/trends/explore?q=jennifer+lopez+first+husband&date=now+7-d&geo=CA,Breakout
4,Jennifer lopez and puff daddy,https://trends.google.ca/trends/explore?q=jennifer+lopez+and+puff+daddy&date=now+7-d&geo=CA,Breakout
5,Aaliyah,https://trends.google.ca/trends/explore?q=aaliyah&date=now+7-d&geo=CA,Breakout
6,Cassie ventura,https://trends.google.ca/trends/explore?q=cassie+ventura&date=now+7-d&geo=CA,Breakout
7,Pdiddy,https://trends.google.ca/trends/explore?q=pdiddy&date=now+7-d&geo=CA,Breakout
8,Sean combs and jennifer lopez relationship,https://trends.google.ca/trends/explore?q=sean+combs+and+jennifer+lopez+relationship&date=now+7-d&geo=CA,Breakout
9,P diddy net worth,https://trends.google.ca/trends/explore?q=p+diddy+net+worth&date=now+7-d&geo=CA,Breakout
10,Kim porter,https://trends.google.ca/trends/explore?q=kim+porter&date=now+7-d&geo=CA,Breakout
11,Shyne,https://trends.google.ca/trends/explore?q=shyne&date=now+7-d&geo=CA,Breakout
12,P diddy and jlo relationship,https://trends.google.ca/trends/explore?q=p+diddy+and+jlo+relationship&date=now+7-d&geo=CA,Breakout
13,Suge knight,https://trends.google.ca/trends/explore?q=suge+knight&date=now+7-d&geo=CA,Breakout
14,New york post,https://trends.google.ca/trends/explore?q=new+york+post&date=now+7-d&geo=CA,Breakout
15,Natasha richardson,https://trends.google.ca/trends/explore?q=natasha+richardson&date=now+7-d&geo=CA,Breakout
16,Melania trump,https://trends.google.ca/trends/explore?q=melania+trump&date=now+7-d&geo=CA,Breakout
17,Whoopi goldberg,https://trends.google.ca/trends/explore?q=whoopi+goldberg&date=now+7-d&geo=CA,Breakout
18,Diddy combs,https://trends.google.ca/trends/explore?q=diddy+combs&date=now+7-d&geo=CA,"+4,350%"
19,Emme maribel muñiz,https://trends.google.ca/trends/explore?q=emme+maribel+mu%C3%B1iz&date=now+7-d&geo=CA,"+4,200%"
20,Candice bergen,https://trends.google.ca/trends/explore?q=candice+bergen&date=now+7-d&geo=CA,"+2,350%"
21,Puff daddy,https://trends.google.ca/trends/explore?q=puff+daddy&date=now+7-d&geo=CA,"+2,300%"
22,Diddy,https://trends.google.ca/trends/explore?q=diddy&date=now+7-d&geo=CA,"+1,200%"
23,P diddy and jennifer lopez,https://trends.google.ca/trends/explore?q=p+diddy+and+jennifer+lopez&date=now+7-d&geo=CA,"+1,200%"
24,Diddy jennifer lopez,https://trends.google.ca/trends/explore?q=diddy+jennifer+lopez&date=now+7-d&geo=CA,"+1,200%"
25,P diddy,https://trends.google.ca/trends/explore?q=p+diddy&date=now+7-d&geo=CA,"+1,150%"
