Line Number,Label Text,Link,Rising Value
1,Tokyo skytree,https://trends.google.ca/trends/explore?q=tokyo+skytree&date=now+7-d&geo=CA,Breakout
2,How long does it take to climb mount fuji,https://trends.google.ca/trends/explore?q=how+long+does+it+take+to+climb+mount+fuji&date=now+7-d&geo=CA,Breakout
3,How tall is mount fuji,https://trends.google.ca/trends/explore?q=how+tall+is+mount+fuji&date=now+7-d&geo=CA,+250%
4,Lake kawaguchi,https://trends.google.ca/trends/explore?q=lake+kawaguchi&date=now+7-d&geo=CA,+250%
5,Mount fuji elevation,https://trends.google.ca/trends/explore?q=mount+fuji+elevation&date=now+7-d&geo=CA,+200%
6,Map of japan,https://trends.google.ca/trends/explore?q=map+of+japan&date=now+7-d&geo=CA,+130%
7,Mount fuji hike time,https://trends.google.ca/trends/explore?q=mount+fuji+hike+time&date=now+7-d&geo=CA,+130%
8,Where is mount fuji in japan,https://trends.google.ca/trends/explore?q=where+is+mount+fuji+in+japan&date=now+7-d&geo=CA,+120%
9,Climbing mount fuji,https://trends.google.ca/trends/explore?q=climbing+mount+fuji&date=now+7-d&geo=CA,+90%
10,Lake kawaguchiko,https://trends.google.ca/trends/explore?q=lake+kawaguchiko&date=now+7-d&geo=CA,+60%
