Line Number,Label Text,Link,Rising Value
1,Kylie jenner dog breed,https://trends.google.ca/trends/explore?q=kylie+jenner+dog+breed&date=now+7-d&geo=CA,Breakout
2,Kylie jenner partner,https://trends.google.ca/trends/explore?q=kylie+jenner+partner&date=now+7-d&geo=CA,Breakout
3,Tristan thompson,https://trends.google.ca/trends/explore?q=tristan+thompson&date=now+7-d&geo=CA,Breakout
4,How old was kylie when she had stormi,https://trends.google.ca/trends/explore?q=how+old+was+kylie+when+she+had+stormi&date=now+7-d&geo=CA,Breakout
5,Cristiano ronaldo,https://trends.google.ca/trends/explore?q=cristiano+ronaldo&date=now+7-d&geo=CA,Breakout
6,People magazine,https://trends.google.ca/trends/explore?q=people+magazine&date=now+7-d&geo=CA,Breakout
7,How tall is kylie jenner in ft,https://trends.google.ca/trends/explore?q=how+tall+is+kylie+jenner+in+ft&date=now+7-d&geo=CA,+350%
8,Bianca censori,https://trends.google.ca/trends/explore?q=bianca+censori&date=now+7-d&geo=CA,+250%
9,Kylie jenner baby daddy,https://trends.google.ca/trends/explore?q=kylie+jenner+baby+daddy&date=now+7-d&geo=CA,+200%
10,Travis scott wife,https://trends.google.ca/trends/explore?q=travis+scott+wife&date=now+7-d&geo=CA,+200%
11,Kylie jenner filler,https://trends.google.ca/trends/explore?q=kylie+jenner+filler&date=now+7-d&geo=CA,+180%
12,How tall is kylie jenner,https://trends.google.ca/trends/explore?q=how+tall+is+kylie+jenner&date=now+7-d&geo=CA,+140%
13,Angelina jolie,https://trends.google.ca/trends/explore?q=angelina+jolie&date=now+7-d&geo=CA,+140%
14,Kylie jenner parfum,https://trends.google.ca/trends/explore?q=kylie+jenner+parfum&date=now+7-d&geo=CA,+120%
15,Kylie jenner perfume,https://trends.google.ca/trends/explore?q=kylie+jenner+perfume&date=now+7-d&geo=CA,+110%
16,Kylie jenner shrimp tacos,https://trends.google.ca/trends/explore?q=kylie+jenner+shrimp+tacos&date=now+7-d&geo=CA,+110%
17,Kylie jenner british vogue,https://trends.google.ca/trends/explore?q=kylie+jenner+british+vogue&date=now+7-d&geo=CA,+110%
18,Kim kardashian kids,https://trends.google.ca/trends/explore?q=kim+kardashian+kids&date=now+7-d&geo=CA,+100%
19,Kourtney kardashian kids,https://trends.google.ca/trends/explore?q=kourtney+kardashian+kids&date=now+7-d&geo=CA,+100%
20,Travis scott net worth,https://trends.google.ca/trends/explore?q=travis+scott+net+worth&date=now+7-d&geo=CA,+90%
21,Kylie jenner no makeup,https://trends.google.ca/trends/explore?q=kylie+jenner+no+makeup&date=now+7-d&geo=CA,+90%
22,Kylie jenner height in feet,https://trends.google.ca/trends/explore?q=kylie+jenner+height+in+feet&date=now+7-d&geo=CA,+90%
23,Bruce jenner,https://trends.google.ca/trends/explore?q=bruce+jenner&date=now+7-d&geo=CA,+80%
24,Kylie jenner height,https://trends.google.ca/trends/explore?q=kylie+jenner+height&date=now+7-d&geo=CA,+70%
25,How old is kendall jenner,https://trends.google.ca/trends/explore?q=how+old+is+kendall+jenner&date=now+7-d&geo=CA,+70%
