Line Number,Label Text,Link,Rising Value
1,Lera abova,https://trends.google.ca/trends/explore?q=lera+abova&date=now+7-d&geo=CA,Breakout
2,Batman crocs,https://trends.google.ca/trends/explore?q=batman+crocs&date=now+7-d&geo=CA,Breakout
3,Spiderman laryngitis,https://trends.google.ca/trends/explore?q=spiderman+laryngitis&date=now+7-d&geo=CA,"+2,250%"
4,Joe manganiello,https://trends.google.ca/trends/explore?q=joe+manganiello&date=now+7-d&geo=CA,+500%
5,Joe manganiello spiderman,https://trends.google.ca/trends/explore?q=joe+manganiello+spiderman&date=now+7-d&geo=CA,+450%
6,When is spiderman 2 coming to pc,https://trends.google.ca/trends/explore?q=when+is+spiderman+2+coming+to+pc&date=now+7-d&geo=CA,+450%
7,Ps5 spiderman 2 bundle,https://trends.google.ca/trends/explore?q=ps5+spiderman+2+bundle&date=now+7-d&geo=CA,+170%
8,Spiderman cake topper,https://trends.google.ca/trends/explore?q=spiderman+cake+topper&date=now+7-d&geo=CA,+120%
9,Spiderman 2 dlc release date,https://trends.google.ca/trends/explore?q=spiderman+2+dlc+release+date&date=now+7-d&geo=CA,+120%
10,Spiderman onesie,https://trends.google.ca/trends/explore?q=spiderman+onesie&date=now+7-d&geo=CA,+110%
11,Black cat marvel,https://trends.google.ca/trends/explore?q=black+cat+marvel&date=now+7-d&geo=CA,+100%
12,Spiderman remastered,https://trends.google.ca/trends/explore?q=spiderman+remastered&date=now+7-d&geo=CA,+90%
13,Vulture spiderman,https://trends.google.ca/trends/explore?q=vulture+spiderman&date=now+7-d&geo=CA,+90%
14,Captain america civil war,https://trends.google.ca/trends/explore?q=captain+america+civil+war&date=now+7-d&geo=CA,+80%
15,Spiderman pj pants,https://trends.google.ca/trends/explore?q=spiderman+pj+pants&date=now+7-d&geo=CA,+80%
16,Spiderman cupcakes,https://trends.google.ca/trends/explore?q=spiderman+cupcakes&date=now+7-d&geo=CA,+70%
17,Kirsten dunst,https://trends.google.ca/trends/explore?q=kirsten+dunst&date=now+7-d&geo=CA,+70%
18,Black cat spiderman,https://trends.google.ca/trends/explore?q=black+cat+spiderman&date=now+7-d&geo=CA,+60%
19,Black cat,https://trends.google.ca/trends/explore?q=black+cat&date=now+7-d&geo=CA,+60%
20,Marvels spiderman 2,https://trends.google.ca/trends/explore?q=marvels+spiderman+2&date=now+7-d&geo=CA,+60%
21,Spiderman mods,https://trends.google.ca/trends/explore?q=spiderman+mods&date=now+7-d&geo=CA,+60%
22,Silk spiderman,https://trends.google.ca/trends/explore?q=silk+spiderman&date=now+7-d&geo=CA,+50%
23,Spiderman tattoo,https://trends.google.ca/trends/explore?q=spiderman+tattoo&date=now+7-d&geo=CA,+50%
24,Spiderman suits,https://trends.google.ca/trends/explore?q=spiderman+suits&date=now+7-d&geo=CA,+50%
25,Spiderman costume women,https://trends.google.ca/trends/explore?q=spiderman+costume+women&date=now+7-d&geo=CA,+50%
