Line Number,Label Text,Link,Rising Value
1,Merab dvalishvili,https://trends.google.ca/trends/explore?q=merab+dvalishvili&date=now+7-d&geo=CA,Breakout
2,Umar nurmagomedov khabib relation,https://trends.google.ca/trends/explore?q=umar+nurmagomedov+khabib+relation&date=now+7-d&geo=CA,Breakout
3,Ufc 306,https://trends.google.ca/trends/explore?q=ufc+306&date=now+7-d&geo=CA,Breakout
4,Jon jones record,https://trends.google.ca/trends/explore?q=jon+jones+record&date=now+7-d&geo=CA,Breakout
5,Is umar nurmagomedov related to khabib,https://trends.google.ca/trends/explore?q=is+umar+nurmagomedov+related+to+khabib&date=now+7-d&geo=CA,Breakout
6,Dagestan,https://trends.google.ca/trends/explore?q=dagestan&date=now+7-d&geo=CA,Breakout
7,Ufc rankings,https://trends.google.ca/trends/explore?q=ufc+rankings&date=now+7-d&geo=CA,Breakout
8,Khabib nurmagomedov vs conor mcgregor,https://trends.google.ca/trends/explore?q=khabib+nurmagomedov+vs+conor+mcgregor&date=now+7-d&geo=CA,Breakout
9,Valentina shevchenko,https://trends.google.ca/trends/explore?q=valentina+shevchenko&date=now+7-d&geo=CA,Breakout
10,Ufc results,https://trends.google.ca/trends/explore?q=ufc+results&date=now+7-d&geo=CA,Breakout
11,Said nurmagomedov,https://trends.google.ca/trends/explore?q=said+nurmagomedov&date=now+7-d&geo=CA,Breakout
12,Khabib nurmagomedov brother,https://trends.google.ca/trends/explore?q=khabib+nurmagomedov+brother&date=now+7-d&geo=CA,+300%
13,Sean o'malley,https://trends.google.ca/trends/explore?q=sean+o'malley&date=now+7-d&geo=CA,+250%
14,Umar nurmagomedov,https://trends.google.ca/trends/explore?q=umar+nurmagomedov&date=now+7-d&geo=CA,+250%
15,Umar nurmagomedov related to khabib,https://trends.google.ca/trends/explore?q=umar+nurmagomedov+related+to+khabib&date=now+7-d&geo=CA,+250%
16,Mike tyson,https://trends.google.ca/trends/explore?q=mike+tyson&date=now+7-d&geo=CA,+110%
17,Ufc 308,https://trends.google.ca/trends/explore?q=ufc+308&date=now+7-d&geo=CA,+100%
18,Alexa grasso,https://trends.google.ca/trends/explore?q=alexa+grasso&date=now+7-d&geo=CA,+80%
19,Umar nurmagomedov record,https://trends.google.ca/trends/explore?q=umar+nurmagomedov+record&date=now+7-d&geo=CA,+60%
20,Alex pereira,https://trends.google.ca/trends/explore?q=alex+pereira&date=now+7-d&geo=CA,+50%
21,Khabib record,https://trends.google.ca/trends/explore?q=khabib+record&date=now+7-d&geo=CA,+50%
22,Ufc,https://trends.google.ca/trends/explore?q=ufc&date=now+7-d&geo=CA,+40%
