Line Number,Label Text,Link,Rising Value
1,Mango sticky rice near me,https://trends.google.ca/trends/explore?q=mango+sticky+rice+near+me&date=now+1-d&geo=CA,Breakout
2,Massimo dutti canada,https://trends.google.ca/trends/explore?q=massimo+dutti+canada&date=now+1-d&geo=CA,Breakout
3,Sezane,https://trends.google.ca/trends/explore?q=sezane&date=now+1-d&geo=CA,Breakout
4,Mango haze strain,https://trends.google.ca/trends/explore?q=mango+haze+strain&date=now+1-d&geo=CA,Breakout
5,Simons canada,https://trends.google.ca/trends/explore?q=simons+canada&date=now+1-d&geo=CA,Breakout
6,Mango shiva,https://trends.google.ca/trends/explore?q=mango+shiva&date=now+1-d&geo=CA,+250%
7,Mango delight,https://trends.google.ca/trends/explore?q=mango+delight&date=now+1-d&geo=CA,+200%
8,Mango sticky rice recipe,https://trends.google.ca/trends/explore?q=mango+sticky+rice+recipe&date=now+1-d&geo=CA,+180%
9,How to cut a mango,https://trends.google.ca/trends/explore?q=how+to+cut+a+mango&date=now+1-d&geo=CA,+90%
10,Mango vape,https://trends.google.ca/trends/explore?q=mango+vape&date=now+1-d&geo=CA,+80%
11,Garage,https://trends.google.ca/trends/explore?q=garage&date=now+1-d&geo=CA,+70%
12,Passion mango,https://trends.google.ca/trends/explore?q=passion+mango&date=now+1-d&geo=CA,+70%
13,Mango lassi recipe,https://trends.google.ca/trends/explore?q=mango+lassi+recipe&date=now+1-d&geo=CA,+70%
14,Mango chutney recipe,https://trends.google.ca/trends/explore?q=mango+chutney+recipe&date=now+1-d&geo=CA,+60%
15,Mango salad ingersoll,https://trends.google.ca/trends/explore?q=mango+salad+ingersoll&date=now+1-d&geo=CA,+60%
16,Happy mango,https://trends.google.ca/trends/explore?q=happy+mango&date=now+1-d&geo=CA,+50%
17,Royal mango shiva,https://trends.google.ca/trends/explore?q=royal+mango+shiva&date=now+1-d&geo=CA,+50%
18,Mango salad,https://trends.google.ca/trends/explore?q=mango+salad&date=now+1-d&geo=CA,+40%
