Line Number,Label Text,Link,Rising Value
16,Jordan davis kelowna,https://trends.google.ca/trends/explore?q=jordan+davis+kelowna&date=now+1-d&geo=CA,+130%
17,Jordan eberle,https://trends.google.ca/trends/explore?q=jordan+eberle&date=now+1-d&geo=CA,+130%
18,Charly jordan,https://trends.google.ca/trends/explore?q=charly+jordan&date=now+1-d&geo=CA,+110%
19,Jordan davis songs,https://trends.google.ca/trends/explore?q=jordan+davis+songs&date=now+1-d&geo=CA,+110%
20,Jordan davis calgary,https://trends.google.ca/trends/explore?q=jordan+davis+calgary&date=now+1-d&geo=CA,+100%
21,Jordan romano,https://trends.google.ca/trends/explore?q=jordan+romano&date=now+1-d&geo=CA,+100%
22,Jordan bardella,https://trends.google.ca/trends/explore?q=jordan+bardella&date=now+1-d&geo=CA,+90%
23,Jordan binnington,https://trends.google.ca/trends/explore?q=jordan+binnington&date=now+1-d&geo=CA,+80%
24,Jordan river anderson,https://trends.google.ca/trends/explore?q=jordan+river+anderson&date=now+1-d&geo=CA,+80%
25,Travis scott jordan 1 medium olive,https://trends.google.ca/trends/explore?q=travis+scott+jordan+1+medium+olive&date=now+1-d&geo=CA,+80%
1,Iphone 15 pro max,https://trends.google.ca/trends/explore?q=iphone+15+pro+max&date=now+1-d&geo=CA,Breakout
2,How to record on macbook air,https://trends.google.ca/trends/explore?q=how+to+record+on+macbook+air&date=now+1-d&geo=CA,Breakout
3,Apple education,https://trends.google.ca/trends/explore?q=apple+education&date=now+1-d&geo=CA,+100%
4,Macbook air 2019,https://trends.google.ca/trends/explore?q=macbook+air+2019&date=now+1-d&geo=CA,+80%
5,Apple refurbished,https://trends.google.ca/trends/explore?q=apple+refurbished&date=now+1-d&geo=CA,+80%
6,Starlight macbook air,https://trends.google.ca/trends/explore?q=starlight+macbook+air&date=now+1-d&geo=CA,+80%
7,A2337 macbook air,https://trends.google.ca/trends/explore?q=a2337+macbook+air&date=now+1-d&geo=CA,+60%
8,Apple student discount,https://trends.google.ca/trends/explore?q=apple+student+discount&date=now+1-d&geo=CA,+60%
9,Macbook air m3 13 inch,https://trends.google.ca/trends/explore?q=macbook+air+m3+13+inch&date=now+1-d&geo=CA,+50%
10,Macbook air weight,https://trends.google.ca/trends/explore?q=macbook+air+weight&date=now+1-d&geo=CA,+40%
1,Real canadian superstore,https://trends.google.ca/trends/explore?q=real+canadian+superstore&date=now+1-d&geo=CA,Breakout
2,Farm boy flyer,https://trends.google.ca/trends/explore?q=farm+boy+flyer&date=now+1-d&geo=CA,Breakout
3,Fortinos flyer,https://trends.google.ca/trends/explore?q=fortinos+flyer&date=now+1-d&geo=CA,Breakout
4,Giant tiger flyer smart canucks,https://trends.google.ca/trends/explore?q=giant+tiger+flyer+smart+canucks&date=now+1-d&geo=CA,Breakout
5,No frills weekly flyer,https://trends.google.ca/trends/explore?q=no+frills+weekly+flyer&date=now+1-d&geo=CA,Breakout
6,Real canadian superstore,https://trends.google.ca/trends/explore?q=real+canadian+superstore&date=now+1-d&geo=CA,Breakout
7,Farm boy flyer,https://trends.google.ca/trends/explore?q=farm+boy+flyer&date=now+1-d&geo=CA,Breakout
8,Fortinos flyer,https://trends.google.ca/trends/explore?q=fortinos+flyer&date=now+1-d&geo=CA,Breakout
9,Giant tiger flyer smart canucks,https://trends.google.ca/trends/explore?q=giant+tiger+flyer+smart+canucks&date=now+1-d&geo=CA,Breakout
10,No frills weekly flyer,https://trends.google.ca/trends/explore?q=no+frills+weekly+flyer&date=now+1-d&geo=CA,Breakout
