Query,Line Number,Seed,Link,Rising Value,Date
 Mortal Kombat,1,Baraka mortal kombat,https://trends.google.ca/trends/explore?q=baraka+mortal+kombat&date=now+1-d&geo=CA,Breakout,2024-10-01
 Mortal Kombat,2,Mortal kombat characters,https://trends.google.ca/trends/explore?q=mortal+kombat+characters&date=now+1-d&geo=CA,+100%,2024-10-01
 Mortal Kombat,3,Mortal kombat 11 characters,https://trends.google.ca/trends/explore?q=mortal+kombat+11+characters&date=now+1-d&geo=CA,+90%,2024-10-01
 Mortal Kombat,4,Scorpion mortal kombat,https://trends.google.ca/trends/explore?q=scorpion+mortal+kombat&date=now+1-d&geo=CA,+60%,2024-10-01
