Line Number,Label Text,Link,Rising Value
1,Aishwarya rai,https://trends.google.ca/trends/explore?q=aishwarya+rai&date=now+7-d&geo=CA,Breakout
2,Scarlett johansson set it all free,https://trends.google.ca/trends/explore?q=scarlett+johansson+set+it+all+free&date=now+7-d&geo=CA,Breakout
3,Billie eilish,https://trends.google.ca/trends/explore?q=billie+eilish&date=now+7-d&geo=CA,Breakout
4,Jack antonoff scarlett johansson,https://trends.google.ca/trends/explore?q=jack+antonoff+scarlett+johansson&date=now+7-d&geo=CA,Breakout
5,Adriana lima,https://trends.google.ca/trends/explore?q=adriana+lima&date=now+7-d&geo=CA,Breakout
6,Natasha romanoff,https://trends.google.ca/trends/explore?q=natasha+romanoff&date=now+7-d&geo=CA,Breakout
7,Reese witherspoon,https://trends.google.ca/trends/explore?q=reese+witherspoon&date=now+7-d&geo=CA,Breakout
8,Jojo rabbit,https://trends.google.ca/trends/explore?q=jojo+rabbit&date=now+7-d&geo=CA,Breakout
9,Scarlett johansson no makeup,https://trends.google.ca/trends/explore?q=scarlett+johansson+no+makeup&date=now+7-d&geo=CA,Breakout
10,Amanda seyfried,https://trends.google.ca/trends/explore?q=amanda+seyfried&date=now+7-d&geo=CA,Breakout
11,Mila kunis,https://trends.google.ca/trends/explore?q=mila+kunis&date=now+7-d&geo=CA,Breakout
12,The prestige,https://trends.google.ca/trends/explore?q=the+prestige&date=now+7-d&geo=CA,Breakout
13,Priyanka chopra,https://trends.google.ca/trends/explore?q=priyanka+chopra&date=now+7-d&geo=CA,Breakout
14,Scarlett johansson relationships,https://trends.google.ca/trends/explore?q=scarlett+johansson+relationships&date=now+7-d&geo=CA,+550%
15,Scarlett johansson filmography,https://trends.google.ca/trends/explore?q=scarlett+johansson+filmography&date=now+7-d&geo=CA,+350%
16,Justin timberlake,https://trends.google.ca/trends/explore?q=justin+timberlake&date=now+7-d&geo=CA,+200%
17,Rachel mcadams,https://trends.google.ca/trends/explore?q=rachel+mcadams&date=now+7-d&geo=CA,+190%
18,Gal gadot,https://trends.google.ca/trends/explore?q=gal+gadot&date=now+7-d&geo=CA,+170%
19,Under the skin,https://trends.google.ca/trends/explore?q=under+the+skin&date=now+7-d&geo=CA,+170%
20,Salma hayek,https://trends.google.ca/trends/explore?q=salma+hayek&date=now+7-d&geo=CA,+160%
21,Cobie smulders,https://trends.google.ca/trends/explore?q=cobie+smulders&date=now+7-d&geo=CA,+150%
22,Jennifer lawrence,https://trends.google.ca/trends/explore?q=jennifer+lawrence&date=now+7-d&geo=CA,+150%
23,Jurassic world 4,https://trends.google.ca/trends/explore?q=jurassic+world+4&date=now+7-d&geo=CA,+150%
24,Jenna ortega,https://trends.google.ca/trends/explore?q=jenna+ortega&date=now+7-d&geo=CA,+140%
25,Under the skin scarlett johansson,https://trends.google.ca/trends/explore?q=under+the+skin+scarlett+johansson&date=now+7-d&geo=CA,+140%
