Link,Label Text,Rising Value,Line Number
https://trends.google.ca/trends/explore?q=jovi+and+yara&date=now+7-d&geo=CA,jovi and yara,Breakout,1
https://trends.google.ca/trends/explore?q=veah+90+day+fiance&date=now+7-d&geo=CA,veah 90 day fiance,Breakout,2
https://trends.google.ca/trends/explore?q=the+bachelor&date=now+7-d&geo=CA,the bachelor,Breakout,3
https://trends.google.ca/trends/explore?q=morgan+wallen&date=now+7-d&geo=CA,morgan wallen,Breakout,4
https://trends.google.ca/trends/explore?q=ashley+90+day+fiance+weight+loss&date=now+7-d&geo=CA,ashley 90 day fiance weight loss,Breakout,5
https://trends.google.ca/trends/explore?q=jon+and+rachel+90+day+fiance&date=now+7-d&geo=CA,jon and rachel 90 day fiance,Breakout,6
https://trends.google.ca/trends/explore?q=www1.swatchseries+90+day+fiance&date=now+7-d&geo=CA,www1.swatchseries 90 day fiance,Breakout,7
https://trends.google.ca/trends/explore?q=porscha+raemond&date=now+7-d&geo=CA,porscha raemond,Breakout,8
https://trends.google.ca/trends/explore?q=geoffrey+paschel&date=now+7-d&geo=CA,geoffrey paschel,Breakout,9
https://trends.google.ca/trends/explore?q=90+day+fiance+jovi&date=now+7-d&geo=CA,90 day fiance jovi,+950%,10
https://trends.google.ca/trends/explore?q=prince+harry&date=now+7-d&geo=CA,prince harry,+350%,11
https://trends.google.ca/trends/explore?q=fernanda+90+day+fiance&date=now+7-d&geo=CA,fernanda 90 day fiance,+300%,12
https://trends.google.ca/trends/explore?q=leida+90+day+fiance&date=now+7-d&geo=CA,leida 90 day fiance,+300%,13
https://trends.google.ca/trends/explore?q=colt+from+90+day+fiance&date=now+7-d&geo=CA,colt from 90 day fiance,+250%,14
https://trends.google.ca/trends/explore?q=i+love+a+mama's+boy&date=now+7-d&geo=CA,i love a mama's boy,+200%,15
https://trends.google.ca/trends/explore?q=ashley+90+day+fiance&date=now+7-d&geo=CA,ashley 90 day fiance,+130%,16
https://trends.google.ca/trends/explore?q=big+ed+90+day+fiance&date=now+7-d&geo=CA,big ed 90 day fiance,+90%,17
https://trends.google.ca/trends/explore?q=big+ed&date=now+7-d&geo=CA,big ed,+80%,18
https://trends.google.ca/trends/explore?q=rayne+90+day+fiance&date=now+7-d&geo=CA,rayne 90 day fiance,+80%,19
https://trends.google.ca/trends/explore?q=colt+90+day+fiance&date=now+7-d&geo=CA,colt 90 day fiance,+70%,20
https://trends.google.ca/trends/explore?q=brian+90+day+fiance&date=now+7-d&geo=CA,brian 90 day fiance,+60%,21
https://trends.google.ca/trends/explore?q=90+day+fiance+ed&date=now+7-d&geo=CA,90 day fiance ed,+50%,22
