Query,Line Number,Seed,Link,Rising Value,Date
 White,1,Kathy corianna white,https://trends.google.ca/trends/explore?q=kathy+corianna+white&date=now+7-d&geo=CA,"+3,400%",2024-09-26
 White,2,Diddy white party photos,https://trends.google.ca/trends/explore?q=diddy+white+party+photos&date=now+7-d&geo=CA,"+2,300%",2024-09-26
 White,3,Haitian currency,https://trends.google.ca/trends/explore?q=haitian+currency&date=now+7-d&geo=CA,"+1,900%",2024-09-26
 White,4,Diddy white party,https://trends.google.ca/trends/explore?q=diddy+white+party&date=now+7-d&geo=CA,"+1,550%",2024-09-26
 White,5,50 cent kissing white guy,https://trends.google.ca/trends/explore?q=50+cent+kissing+white+guy&date=now+7-d&geo=CA,"+1,300%",2024-09-26
 White,6,White flag singer,https://trends.google.ca/trends/explore?q=white+flag+singer&date=now+7-d&geo=CA,"+1,050%",2024-09-26
 White,7,Cathy white,https://trends.google.ca/trends/explore?q=cathy+white&date=now+7-d&geo=CA,+750%,2024-09-26
 White,8,Kathy white,https://trends.google.ca/trends/explore?q=kathy+white&date=now+7-d&geo=CA,+700%,2024-09-26
 White,9,White dudes for harris,https://trends.google.ca/trends/explore?q=white+dudes+for+harris&date=now+7-d&geo=CA,+700%,2024-09-26
 White,10,Brio,https://trends.google.ca/trends/explore?q=brio&date=now+7-d&geo=CA,+600%,2024-09-26
 White,11,Snow white biggar,https://trends.google.ca/trends/explore?q=snow+white+biggar&date=now+7-d&geo=CA,+450%,2024-09-26
 White,12,Cathriona white,https://trends.google.ca/trends/explore?q=cathriona+white&date=now+7-d&geo=CA,+450%,2024-09-26
 White,13,Vicky white,https://trends.google.ca/trends/explore?q=vicky+white&date=now+7-d&geo=CA,+300%,2024-09-26
 White,14,Casey white,https://trends.google.ca/trends/explore?q=casey+white&date=now+7-d&geo=CA,+300%,2024-09-26
 White,15,White sox vs padres,https://trends.google.ca/trends/explore?q=white+sox+vs+padres&date=now+7-d&geo=CA,+150%,2024-09-26
 White,16,White sox record,https://trends.google.ca/trends/explore?q=white+sox+record&date=now+7-d&geo=CA,+100%,2024-09-26
 White,17,White sox score,https://trends.google.ca/trends/explore?q=white+sox+score&date=now+7-d&geo=CA,+90%,2024-09-26
 White,18,White party,https://trends.google.ca/trends/explore?q=white+party&date=now+7-d&geo=CA,+70%,2024-09-26
 White,19,Chicago white sox,https://trends.google.ca/trends/explore?q=chicago+white+sox&date=now+7-d&geo=CA,+60%,2024-09-26
 White,20,Blaire white,https://trends.google.ca/trends/explore?q=blaire+white&date=now+7-d&geo=CA,+60%,2024-09-26
 White,21,White sox,https://trends.google.ca/trends/explore?q=white+sox&date=now+7-d&geo=CA,+40%,2024-09-26
